Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
250 S (W108/109),,2470,96,130,01/66 → 12/69
250 SE (W108/109),,2470,110,150,01/66 → 12/67
280 S/8 (W108/109),M 130.920,2748,103,140,10/67 → 07/72
"280 SE,SEL/8 (W108/109)",M 130.980,2748,118,160,01/68 → 08/72
"280 SE,SEL/9 3.5 (W108/109)",M 116.980,3459,147,200,03/71 → 08/72
300 SEL/8 (W108/109),M 130.981,2748,118,160,01/68 → 08/72
300 SEL/8 6.3 (W108/109),M 100.981,6289,184,250,03/68 → 08/72
300 SEL/9 3.5 (W108/109),M 116.981,3459,147,200,01/70 → 07/72
