Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.3,,2260,101,137,01/93 → 03/97
2.3,,2260,108,147,01/93 → 03/97
3.1,,3128,90,122,07/89 → 03/97
3.1,,3135,104,141,07/89 → 03/97
3.4,,3350,134,182,03/97 → 09/98
3.4,,3350,137,186,09/98 → 12/99
