Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.5 Hybrid (NHW20),1NZ-FXE,1497,82,112,09/03 → 12/09
1.5 Hybrid (NHW1_),1NZ-FXE,1497,85,116,05/00 → 12/03
1.8 (ZVW30/40),2ZR-FXE,1798,73,99,04/09 →
1.8 Hybrid (ZVW50/52),2ZR-FXE,1797,90,122,11/15 →
1.8 Hybrid (ZVW40),2ZR-FXE,1798,100,136,05/11 →
1.8 Hybrid (ZVW35),2ZR-FXE,,73,99,01/12 →
2.0 PHEV (_W6_),M20A-FXS,1986,164,223,01/23 →
