Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
0.5 D,Z482A,479,9,12,09/03 → 12/11
0.5 D,Z482A,479,10,14,09/03 →
0.6 D,Z402B,599,11,15,01/10 →
