Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
LN 0.6,R06 627,602,24,33,11/76 → 07/79
LNA 0.6,V06 644,652,25,34,07/82 → 04/85
LNA 0.6,V06 630,652,26,35,11/78 → 07/82
LNA 1.0,,954,33,45,07/84 → 10/86
LNA 1.1,109/5E,1124,37,50,07/82 → 04/85
