Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.8 T 20V,"AJH, AWC",,110,150,10/98 → 08/10
1.9 TDI,1Z/AHU/ANU,1896,66,90,04/96 → 08/10
1.9 TDI,"AFN, AVG",1896,81,110,08/96 → 06/00
1.9 TDI,"AJM, AUY, BVK",1896,85,115,07/00 → 08/10
1.9 TDI,ASZ,1896,96,130,10/02 → 08/10
1.9 TDI,BTB,1896,110,150,09/05 → 08/10
2.0 TDI,BRT,1968,103,140,11/05 → 08/10
2.0i,"ADY, ATM",1984,85,115,04/96 → 08/10
2.8 V6,AYL,2792,150,204,07/00 → 08/10
