Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0,,1995,110,150,03/13 →
2.0 BiFuel,FB20B,1995,110,150,03/13 →
2.0 Diesel,,1998,108,147,03/13 →
2.0XT,,1998,177,240,03/13 →
