Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 206 GT,,1987,132,180,02/69 → 10/69
2.5 246 GT,Ferrari-Fiat 236 L,2418,143,195,10/69 → 10/73
