Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 (KM),,992,34,46,01/76 → 12/91
1.0 (KO),,991,31,42,04/67 → 12/91
1.0 (KB),,992,34,46,01/76 → 12/91
1.3 (KB),,1272,43,58,01/76 → 12/91
1.3 (KM/1),,1272,43,58,01/76 → 12/91
