Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 Turbo T-Jet (844),198A4000,1368,88,120,07/08 → 08/14
1.4 Turbo T-Jet (844),198A1000,1368,110,150,07/08 → 08/10
1.4 Turbo T-Jet Multiair,,1368,103,140,09/10 → 08/14
1.6 Multijet MJTD 16V (844),198A2000,1598,88,120,07/08 → 08/14
1.6 Multijet MJTD 16V (844),,1598,77,105,04/11 → 08/14
1.8 DI T-Jet (844),,1768,147,200,02/09 → 08/14
1.9 Twin Turbo Multijet MJTD (844),844A1000,1910,140,190,07/08 → 08/14
2.0 Multijet MJTD 16V (844),198A5000,1956,121,165,09/08 → 08/14
