Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 GLT (945),B 200 GT,1986,139,189,10/94 → 05/97
2.0 Turbo (944),B 200 FT,1986,114,155,04/96 → 10/98
2.3 (944),B 230 FB,2316,96,131,08/94 → 10/98
2.3 (944),B 230 FD,2316,85,116,08/94 → 07/95
2.3 Turbo (944),B 230 FT,2316,121,165,08/94 → 10/98
2.3 Turbo (945),B 230 FT,2316,126,171,08/95 → 10/98
2.3 Turbo (944),B 230 FK,2316,99,135,01/95 → 10/98
2.4 TD Interc. (944),D 24 TIC,2383,90,122,08/94 → 10/98
