Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
420,452..,1996,133,180,03/85 → 12/86
420 i,470..,1996,138,187,01/87 → 12/88
4300,473,2790,182,247,02/88 → 12/94
