Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
6.5 LP 700-4,L539C,6498,515,700,04/11 →
6.5 LP 720-4,,6498,530,721,04/13 →
6.5 LP 740-4,,6498,544,740,05/17 →
6.5 LP 750-4,,6498,552,750,04/15 →
6.5 LP 770-4 SVJ,,6498,566,770,08/18 →
