Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0,10S OHV,,33,45,09/89 → 12/93
1.2,12NV,,38,52,09/89 → 12/93
1.5 Diesel,15D (4EC1),,37,50,09/89 → 12/93
