Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3i IMA,,1339,61,83,01/04 → 09/05
1.4i,D13B,1396,55,75,02/01 → 12/05
1.4i S,"D13B, D14Z5, D14Z6",1396,66,90,02/01 → 09/05
1.6i,,1590,81,110,02/01 → 12/05
1.7 CTDi,4EE-2,1686,74,100,02/02 → 09/05
1.7i,,1668,85,116,02/01 → 09/05
1.7i ES VTEC,,1668,92,125,02/01 → 12/05
1.7i LS,,1668,88,120,02/01 → 12/05
1.8,R18A1,1798,103,140,02/01 → 09/05
2.0 Type-R,,1998,147,200,07/01 → 09/05
2.0i Sport,,1998,118,160,06/04 → 09/05
