Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4,D 14 NEL,1364,88,120,06/18 →
1.4 Turbo,B14XFT,1399,112,152,09/16 →
1.4 Turbo,"A14NET, B14NET",1398,103,140,09/12 →
1.6,"A16XER, B16XER, D16XER",1598,85,115,09/12 →
1.6 CDTI,"B16DTH, D16DTH",1598,100,136,01/15 →
1.6 CDTI,B16DTN,1598,81,110,06/15 →
1.6 CDTI,B16DTC,1598,70,95,01/15 →
1.7 CDTI,A17DTS,1686,96,130,09/12 →
1.8,A18XER,1796,103,140,09/12 →
