Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0,ECC,1996,104,141,03/08 → 05/10
2.4,EDV,2429,164,223,03/08 → 05/10
2.4,EDZ,2429,105,143,02/93 → 12/10
