Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.5,,1490,73,99,05/06 → 07/10
1.5 VVT,,1490,82,112,07/10 →
1.6 ((RW 416)),M16A,1586,79,107,05/06 → 12/11
1.6 16V,,1586,88,120,09/09 →
1.6 DDiS,,1560,66,90,05/07 →
1.6 LPG,M16A,1586,79,107,06/06 → 12/12
1.6 VVT,M16A,1586,82,112,06/06 → 12/15
1.9 DDiS,,1910,88,120,05/06 → 08/09
2.0 DDiS,,1956,99,135,09/09 →
