Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 16V,,1590,73,99,07/97 → 05/00
1.6 16V,HD,1590,66,90,06/89 → 07/97
"1.6 Li,Xi,XiL (A101)",HD-E,1590,77,105,06/89 → 07/97
1.6 ZiL 4WD (A111),HD-E,1590,77,105,06/89 → 07/97
