Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
340 E,Lomb. 15LD,338,8,11,01/96 →
400,Kubota Z402,400,4,5,01/96 →
500,Kubota Z482,479,9,12,01/96 →
