Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 GLX (A161A),4 G 32,1597,55,75,08/80 → 09/84
"1.6 SL,GL (A121)",4 G 32,1597,55,75,04/78 → 07/80
2.0 (A123),4 G 52,1995,66,90,04/78 → 07/80
2.0 (A123),4 G 52,1995,72,98,04/78 → 07/80
2.0 (A123),4 G 52,1995,79,107,01/79 → 07/80
2.0 GSL (A164A),4 G 63,1997,75,102,08/80 → 08/83
2.0 GSR (A164A),4 G 63,1995,82,112,08/80 → 09/84
2.0 Turbo ECi (A164),4 G 63 T,1997,125,170,08/82 → 08/83
2.4 (E16A),4 G 64,2351,91,124,06/87 → 08/90
