Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.8 (GG, GY)",L813,1798,88,120,06/02 → 08/07
"2.0 (GG, GY)","LF17, LF18",1999,104,141,06/02 → 06/05
"2.0 (GG, GY)",,1999,108,147,06/05 → 08/07
"2.0 CD (GG, GY)",RF5C,1998,100,136,06/02 → 08/07
"2.0 CD (GG, GY)",RF5C,1998,89,121,06/02 → 08/07
"2.0 CD (GG, GY)",RF7J,1998,105,143,09/05 → 08/07
"2.3 (GG, GY)",L3C1,2261,122,166,06/02 → 08/07
"2.3 AWD (GG, GY)",L3C,2261,119,162,11/02 → 08/07
"2.3 DISI Turbo MPS (GG, GY)",,2261,191,260,01/06 → 08/07
